22/10/2025,Konyaspor,Besiktas
22/10/2025,Rizespor,Buyuksehyr
24/10/2025,Karagumruk,Kayserispor
25/10/2025,Kocaelispor,Alanyaspor
25/10/2025,Trabzonspor,Eyupspor
26/10/2025,Antalyaspor,Buyuksehyr
26/10/2025,Galatasaray,Goztepe
26/10/2025,Genclerbirligi,Konyaspor
26/10/2025,Kasimpasa,Besiktas
27/10/2025,Gaziantep,Fenerbahce
27/10/2025,Samsunspor,Rizespor
31/10/2025,Buyuksehyr,Kocaelispor
01/11/2025,Goztepe,Genclerbirligi
01/11/2025,Galatasaray,Trabzonspor
02/11/2025,Konyaspor,Samsunspor
02/11/2025,Kayserispor,Kasimpasa
02/11/2025,Besiktas,Fenerbahce
03/11/2025,Rizespor,Karagumruk
03/11/2025,Alanyaspor,Gaziantep
03/11/2025,Eyupspor,Antalyaspor
07/11/2025,Genclerbirligi,Buyuksehyr
08/11/2025,Gaziantep,Rizespor
08/11/2025,Trabzonspor,Alanyaspor
08/11/2025,Kasimpasa,Goztepe
08/11/2025,Antalyaspor,Besiktas
09/11/2025,Karagumruk,Konyaspor
09/11/2025,Kocaelispor,Galatasaray
09/11/2025,Samsunspor,Eyupspor
09/11/2025,Fenerbahce,Kayserispor
22/11/2025,Kayserispor,Gaziantep
22/11/2025,Eyupspor,Karagumruk
22/11/2025,Galatasaray,Genclerbirligi
23/11/2025,Goztepe,Kocaelispor
23/11/2025,Alanyaspor,Kasimpasa
23/11/2025,Besiktas,Samsunspor
23/11/2025,Rizespor,Fenerbahce
24/11/2025,Konyaspor,Antalyaspor
24/11/2025,Buyuksehyr,Trabzonspor
28/11/2025,Kocaelispor,Genclerbirligi
29/11/2025,Rizespor,Kayserispor
29/11/2025,Gaziantep,Eyupspor
29/11/2025,Kasimpasa,Buyuksehyr
29/11/2025,Trabzonspor,Konyaspor
30/11/2025,Antalyaspor,Goztepe
30/11/2025,Karagumruk,Besiktas
01/12/2025,Fenerbahce,Galatasaray
01/12/2025,Samsunspor,Alanyaspor
05/12/2025,Galatasaray,Samsunspor
06/12/2025,Eyupspor,Kayserispor
06/12/2025,Konyaspor,Rizespor
06/12/2025,Buyuksehyr,Fenerbahce
07/12/2025,Genclerbirligi,Karagumruk
07/12/2025,Kocaelispor,Kasimpasa
07/12/2025,Goztepe,Trabzonspor
08/12/2025,Alanyaspor,Antalyaspor
08/12/2025,Besiktas,Gaziantep
12/12/2025,Kasimpasa,Genclerbirligi
13/12/2025,Rizespor,Eyupspor
13/12/2025,Kayserispor,Alanyaspor
13/12/2025,Antalyaspor,Galatasaray
14/12/2025,Gaziantep,Goztepe
14/12/2025,Karagumruk,Kocaelispor
14/12/2025,Samsunspor,Buyuksehyr
14/12/2025,Trabzonspor,Besiktas
15/12/2025,Fenerbahce,Konyaspor
21/12/2025,Eyupspor,Fenerbahce
21/12/2025,Kocaelispor,Antalyaspor
21/12/2025,Goztepe,Samsunspor
21/12/2025,Konyaspor,Kayserispor
21/12/2025,Besiktas,Rizespor
21/12/2025,Galatasaray,Kasimpasa
21/12/2025,Buyuksehyr,Gaziantep
21/12/2025,Alanyaspor,Karagumruk
21/12/2025,Genclerbirligi,Trabzonspor
18/01/2026,Besiktas,Kayserispor
18/01/2026,Goztepe,Rizespor
18/01/2026,Konyaspor,Eyupspor
18/01/2026,Kasimpasa,Antalyaspor
18/01/2026,Buyuksehyr,Karagumruk
18/01/2026,Kocaelispor,Trabzonspor
18/01/2026,Alanyaspor,Fenerbahce
18/01/2026,Galatasaray,Gaziantep
18/01/2026,Genclerbirligi,Samsunspor
25/01/2026,Eyupspor,Besiktas
25/01/2026,Samsunspor,Kocaelispor
25/01/2026,Gaziantep,Konyaspor
25/01/2026,Antalyaspor,Genclerbirligi
25/01/2026,Karagumruk,Galatasaray
25/01/2026,Kayserispor,Buyuksehyr
25/01/2026,Trabzonspor,Kasimpasa
25/01/2026,Rizespor,Alanyaspor
25/01/2026,Fenerbahce,Goztepe
01/02/2026,Antalyaspor,Trabzonspor
01/02/2026,Kocaelispor,Fenerbahce
01/02/2026,Genclerbirligi,Gaziantep
01/02/2026,Buyuksehyr,Rizespor
01/02/2026,Galatasaray,Kayserispor
01/02/2026,Goztepe,Karagumruk
01/02/2026,Alanyaspor,Eyupspor
01/02/2026,Kasimpasa,Samsunspor
01/02/2026,Besiktas,Konyaspor
08/02/2026,Konyaspor,Goztepe
08/02/2026,Samsunspor,Trabzonspor
