12/04/2026,Kayserispor,Fenerbahce
12/04/2026,Buyuksehyr,Genclerbirligi
12/04/2026,Eyupspor,Samsunspor
12/04/2026,Besiktas,Antalyaspor
12/04/2026,Rizespor,Gaziantep
12/04/2026,Konyaspor,Karagumruk
12/04/2026,Goztepe,Kasimpasa
12/04/2026,Alanyaspor,Trabzonspor
19/04/2026,Genclerbirligi,Galatasaray
19/04/2026,Gaziantep,Kayserispor
19/04/2026,Kasimpasa,Alanyaspor
19/04/2026,Trabzonspor,Buyuksehyr
19/04/2026,Kocaelispor,Goztepe
19/04/2026,Antalyaspor,Konyaspor
19/04/2026,Karagumruk,Eyupspor
19/04/2026,Samsunspor,Besiktas
19/04/2026,Fenerbahce,Rizespor
26/04/2026,Kayserispor,Rizespor
26/04/2026,Konyaspor,Trabzonspor
26/04/2026,Buyuksehyr,Kasimpasa
26/04/2026,Genclerbirligi,Kocaelispor
26/04/2026,Galatasaray,Fenerbahce
26/04/2026,Alanyaspor,Samsunspor
26/04/2026,Eyupspor,Gaziantep
26/04/2026,Goztepe,Antalyaspor
26/04/2026,Besiktas,Karagumruk
03/05/2026,Rizespor,Konyaspor
03/05/2026,Antalyaspor,Alanyaspor
03/05/2026,Fenerbahce,Buyuksehyr
03/05/2026,Gaziantep,Besiktas
03/05/2026,Karagumruk,Genclerbirligi
03/05/2026,Kayserispor,Eyupspor
03/05/2026,Samsunspor,Galatasaray
03/05/2026,Trabzonspor,Goztepe
03/05/2026,Kasimpasa,Kocaelispor
10/05/2026,Goztepe,Gaziantep
10/05/2026,Buyuksehyr,Samsunspor
10/05/2026,Konyaspor,Fenerbahce
10/05/2026,Galatasaray,Antalyaspor
10/05/2026,Eyupspor,Rizespor
10/05/2026,Kocaelispor,Karagumruk
10/05/2026,Genclerbirligi,Kasimpasa
10/05/2026,Alanyaspor,Kayserispor
10/05/2026,Besiktas,Trabzonspor
17/05/2026,Kasimpasa,Galatasaray
17/05/2026,Fenerbahce,Eyupspor
17/05/2026,Karagumruk,Alanyaspor
17/05/2026,Trabzonspor,Genclerbirligi
17/05/2026,Kayserispor,Konyaspor
17/05/2026,Rizespor,Besiktas
17/05/2026,Antalyaspor,Kocaelispor
17/05/2026,Samsunspor,Goztepe
17/05/2026,Gaziantep,Buyuksehyr
